title,genres,keywords,original_language,production_countries,spoken_languages
Avatar,"Action, Adventure, Fantasy, Science Fiction","culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d",en,"United States of America, United Kingdom","English, Spanish"
Pirates of the Caribbean: At World's End,"Adventure, Fantasy, Action",,en,United States of America,English
Spectre,"Action, Adventure, Crime","spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom",en,"United Kingdom, United States of America","French, English, Spanish, Italiano, German"
The Dark Knight Rises,"Action, Crime, Drama, Thriller","dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman",en,United States of America,English
John Carter,"Action, Adventure, Science Fiction","based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century, 3d",en,United States of America,English
Spider-Man 3,"Fantasy, Action, Adventure",,en,United States of America,"English, French"
Tangled,"Animation, Family","hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick",en,United States of America,English
Avengers: Age of Ultron,"Action, Adventure, Science Fiction","marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d",en,United States of America,English
Harry Potter and the Half-Blood Prince,"Adventure, Fantasy, Family","witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf",en,"United Kingdom, United States of America",English
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy","dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe",en,United States of America,English
Superman Returns,"Adventure, Fantasy, Action, Science Fiction","saving the world, dc comics, invulnerability, sequel, superhero, based on comic book, kryptonite, super powers, superhuman strength, lex luthor",en,United States of America,"English, French, German"
Quantum of Solace,"Adventure, Action, Thriller, Crime","killing, undercover, secret agent, british secret service",en,"United Kingdom, United States of America","English, Spanish, Italiano, French, German"
Pirates of the Caribbean: Dead Man's Chest,"Adventure, Fantasy, Action","witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger",en,"Jamaica, United States of America, Bahamas, Dominica","English, Turkce"
The Lone Ranger,"Action, Adventure, Western","texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto",en,United States of America,English
Man of Steel,"Action, Adventure, Fantasy, Science Fiction","saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe",en,"United Kingdom, United States of America",English
The Chronicles of Narnia: Prince Caspian,"Adventure, Family, Fantasy","based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world",en,"Czech Republic, Poland, Slovenia, United States of America",English
The Avengers,"Science Fiction, Action, Adventure","new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",en,United States of America,English
Pirates of the Caribbean: On Stranger Tides,"Adventure, Action, Fantasy","sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d",en,United States of America,"English, Spanish"
Men in Black 3,"Action, Comedy, Science Fiction","time travel, time machine, alien, fictional government agency, seeing the future, changing history",en,United States of America,English
The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy","corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery",en,"New Zealand, United States of America",English
The Amazing Spider-Man,"Action, Adventure, Fantasy","loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger",en,United States of America,English
Robin Hood,"Action, Adventure","robin hood, archer, knight, sherwood forest, bow and arrow, middle ages, medieval, king of england",en,"United Kingdom, United States of America",English
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy","elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery",en,"New Zealand, United States of America",English
The Golden Compass,"Adventure, Fantasy","england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based on young adult novel",en,"United Kingdom, United States of America","Islenska, English, French"
King Kong,"Adventure, Drama, Action","film business, screenplay, show business, film making, film producer, exotic island, monster, indigenous, ship, dinosaur",en,"New Zealand, United States of America, Germany",English
Titanic,"Drama, Romance, Thriller","shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star crossed lovers, steerage, salvage, rich snob, 3d, 1910s",en,United States of America,"English, French, German, Swedish, Italiano"
Captain America: Civil War,"Adventure, Action, Science Fiction","civil war, war, marvel comic, sequel, superhero, based on comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d",en,United States of America,"Romana, English, German"
