title,genres,keywords,spoken_languages,overview,production_countries
Avatar,"Action, Adventure, Fantasy, Science Fiction","culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d","English, Español","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","United States of America, United Kingdom"
Pirates of the Caribbean: At World's End,"Adventure, Fantasy, Action","ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstinger",English,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",United States of America
Spectre,"Action, Adventure, Crime","spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom","Français, English, Español, Italiano, Deutsch","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to r","United Kingdom, United States of America"
The Dark Knight Rises,"Action, Crime, Drama, Thriller","dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman",English,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Dep",United States of America
John Carter,"Action, Adventure, Science Fiction","based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century, 3d",English,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a w",United States of America
Spider-Man 3,"Fantasy, Action, Adventure","dual identity, amnesia, sandstorm, love of one's life, forgiveness, spider, wretch, death of a friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero, revenge","English, Français","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, P",United States of America
Tangled,"Animation, Family","hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick",English,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, go",United States of America
Avengers: Age of Ultron,"Action, Adventure, Science Fiction","marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d",English,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villa",United States of America
Harry Potter and the Half-Blood Prince,"Adventure, Fantasy, Family","witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf",English,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","United Kingdom, United States of America"
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy","dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe",English,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what ",United States of America
Superman Returns,"Adventure, Fantasy, Action, Science Fiction","saving the world, dc comics, invulnerability, sequel, superhero, based on comic book, kryptonite, super powers, superhuman strength, lex luthor","English, Français, Deutsch","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could se",United States of America
Quantum of Solace,"Adventure, Action, Thriller, Crime","killing, undercover, secret agent, british secret service","English, Español, Italiano, Français, Deutsch","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determinatio","United Kingdom, United States of America"
Pirates of the Caribbean: Dead Man's Chest,"Adventure, Fantasy, Action","witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger","English, Türkçe, ελληνικά, 普通话","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","Jamaica, United States of America, Bahamas, Dominica"
The Lone Ranger,"Action, Adventure, Western","texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto",English,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto,",United States of America
Man of Steel,"Action, Adventure, Fantasy, Science Fiction","saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe",English,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerg","United Kingdom, United States of America"
The Chronicles of Narnia: Prince Caspian,"Adventure, Family, Fantasy","based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world",English,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the ","Czech Republic, Poland, Slovenia, United States of America"
The Avengers,"Science Fiction, Action, Adventure","new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",English,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull t",United States of America
Pirates of the Caribbean: On Stranger Tides,"Adventure, Action, Fantasy","sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d","English, Español","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces",United States of America
Men in Black 3,"Action, Comedy, Science Fiction","time travel, time machine, alien, fictional government agency, seeing the future, changing history",English,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his ",United States of America
The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy","corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery",English,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mir","New Zealand, United States of America"
The Amazing Spider-Man,"Action, Adventure, Fantasy","loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger",English,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how",United States of America
Robin Hood,"Action, Adventure","robin hood, archer, knight, sherwood forest, bow and arrow, middle ages, medieval, king of england","English, ภาษาไทย","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draw","United Kingdom, United States of America"
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy","elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery",English,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","New Zealand, United States of America"
The Golden Compass,"Adventure, Fantasy","england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based on young adult novel","Íslenska, English, Pусский, Français","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's","United Kingdom, United States of America"
King Kong,"Adventure, Drama, Action","film business, screenplay, show business, film making, film producer, exotic island, monster, indigenous, ship, dinosaur",English,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with t","New Zealand, United States of America, Germany"
Titanic,"Drama, Romance, Thriller","shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star crossed lovers, steerage, salvage, rich snob, 3d, 1910s","English, Français, Deutsch, svenska, Italiano, Pусский","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about ",United States of America
Captain America: Civil War,"Adventure, Action, Science Fiction","civil war, war, marvel comic, sequel, superhero, based on comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d","Română, English, Deutsch, Pусский","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factio",United States of America
Battleship,"Thriller, Action, Adventure, Science Fiction","fight, u.s. navy, mind reading, hong kong, soccer, scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, uss john paul jones, based on board game, aftercreditsstinger, mighty mo, uss missouri","English, ภาษาไทย","When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer ",United States of America
Jurassic World,"Action, Adventure, Science Fiction, Thriller","monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror",English,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",United States of America
Skyfall,"Action, Adventure, Thriller","spy, secret agent, sociopath, killer, art gallery, british secret service, istanbul turkey, imax, uzi, booby trap, impersonating a police officer, macao",English,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challeng","United Kingdom, United States of America"
Spider-Man 2,"Action, Adventure, Fantasy","dual identity, love of one's life, pizza boy, marvel comic, sequel, superhero, doctor, scientist, tentacle, death, super villain","English, Pусский, 普通话","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by th",United States of America
Iron Man 3,"Action, Adventure, Science Fiction","terrorist, war on terror, tennessee, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, mandarin, 3d, war machine, iron patriot, extremis",English,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","China, United States of America"
Alice in Wonderland,"Family, Fantasy, Adventure","based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d",English,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage a",United States of America
X-Men: The Last Stand,"Adventure, Action, Science Fiction, Thriller","mutant, marvel comic, based on comic book, superhuman, beast, cyclops, aftercreditsstinger",English,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","Canada, United Kingdom, United States of America"
Monsters University,"Animation, Family","monster, dormitory, games, animation, best friend, university, scary, aftercreditsstinger",English,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,United States of America
Transformers: Revenge of the Fallen,"Science Fiction, Action, Adventure","egypt, sun, chaos, symbol, artifact, transformers, tank, robot, imax, duringcreditsstinger","English, Español","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",United States of America
Transformers: Age of Extinction,"Science Fiction, Action, Adventure","sequel, alien, transformers, giant robot, robot, imax, transforming robot",English,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful,",United States of America
Oz: The Great and Powerful,"Fantasy, Adventure, Family","circus, witch, magic, hope, illusion, lost, magic trick, wizard, 3d",English,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches",United States of America
The Amazing Spider-Man 2,"Action, Adventure, Fantasy","obsession, marvel comic, sequel, based on comic book, electrocution, medical experiment, electricity, super powers",English,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not f",United States of America
TRON: Legacy,"Adventure, Action, Science Fiction","artificial intelligence, secret identity, computer program, dystopia, computer, deception, duel, motorcycle, neon light, autocracy",English,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evi",United States of America
Cars 2,"Animation, Family, Adventure, Comedy","car race, sequel, comedy, anthropomorphism, best friend, duringcreditsstinger","English, 日本語, Italiano, Français",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventu,United States of America
